rank,country, imfGDP 
154,Swaziland," 4,812,000,000.00 "
155,Guyana," 4,609,000,000.00 "
156,Sierra Leone," 4,221,000,000.00 "
157,Suriname," 3,919,000,000.00 "
158,Burundi," 3,714,000,000.00 "
159,Timor-Leste," 3,413,000,000.00 "
160,Liberia," 3,217,000,000.00 "
161,Aruba," 2,952,000,000.00 "
162,Bhutan," 2,939,000,000.00 "
163,Lesotho," 2,892,000,000.00 "
164,South Sudan," 2,796,000,000.00 "
165,Djibouti," 2,599,000,000.00 "
166,Central African Republic," 2,485,000,000.00 "
167,Cape Verde," 2,208,000,000.00 "
168,Belize," 2,071,000,000.00 "
169,Saint Lucia," 2,069,000,000.00 "
170,Gambia," 1,870,000,000.00 "
171,Antigua and Barbuda," 1,809,000,000.00 "
172,Seychelles," 1,739,000,000.00 "
173,San Marino," 1,672,000,000.00 "
174,Guinea-Bissau," 1,669,000,000.00 "
175,Solomon Islands," 1,607,000,000.00 "
176,Grenada," 1,330,000,000.00 "
177,Saint Kitts and Nevis," 1,118,000,000.00 "
178,Vanuatu," 994,000,000.00 "
179,Samoa," 960,000,000.00 "
180,Saint Vincent and the Grenadines," 903,000,000.00 "
181,Comoros," 773,000,000.00 "
182,Dominica," 590,000,000.00 "
183,Sao Tome and Principe," 527,000,000.00 "
184,Tonga," 512,000,000.00 "
185,Micronesia," 389,000,000.00 "
186,Palau," 324,000,000.00 "
187,Marshall Islands," 228,000,000.00 "
188,Kiribati," 196,000,000.00 "
189,Nauru," 117,000,000.00 "
190,Tuvalu," 53,000,000.00 "
191,Andorra, -   
192,Bermuda, -   
193,British Virgin Islands, -   
194,Cayman Islands, -   
195,Cook Islands, -   
196,Cuba, -   
197,French Polynesia, -   
198,Palestine, -   
199,Greenland, -   
200,North Korea, -   
201,Liechtenstein, -   
202,Monaco, -   
203,Montserrat, -   
204,Curacao, -   
205,Sint Maarten, -   
206,New Caledonia, -   
207,Pakistan, -   
208,Anguilla, -   
209,Sudan, -   
210,Syria, -   
211,Turks and Caicos Islands, -   
